name;addr;rating;phone;more_phones;
Ресторан Гжель;191036, Санкт-Петербург, Суворовский пр-кт, д. 18;5.0;+7 812 740-50-01;+7 812 740-50-00;
Осака;192019, Санкт-Петербург, Седова ул., д. 11, — 4 этаж;5.0;;;
Базилик;191036, Санкт-Петербург, Восстания пл., д. 34/15;0.0;;;
Япоша;194356, Санкт-Петербург, Энгельса пр-кт, д. 139, — 1 этаж;0.0;;;
Фаворит;191025, Санкт-Петербург, Стремянная ул., д. 18;4.5;+7 495 150-09-72;+7 812 406-04-70, +7 812 406-04-50, +7 812 965-91-08;
Buffalo Steak House;191002, Санкт-Петербург, Рубинштейна ул., д. 12;0.0;;;
KILLFISH;197374, Санкт-Петербург, Савушкина ул., д. 143 к1, — 1 этаж;0.0;;;
ВК, ООО;197183, Санкт-Петербург, Савушкина ул., д. 7, — ТЦ Чёрная речка;0.0;+7 812 985-63-53;+7 812 985-49-18, +7 812 985-49-16;
Евразия;197227, Санкт-Петербург, Байконурская ул., д. 14 лит А, — 2 этаж;5.0;;;
Массмидия;191119, Санкт-Петербург, Загородный пр-кт, д. 39а;0.0;;;
Сушимания;198216, Санкт-Петербург, Ленинский пр-кт, д. 129;5.0;;;
Корпорация Правильного Питания;197183, Санкт-Петербург, Липовая аллея, д. 9а;0.0;;;
Лугана;192019, Санкт-Петербург, Обуховской Обороны пр-кт, д. 37;0.0;+7 812 988-61-11;+7 812 935-38-85, +7 812 950-35-86;
Евразия;198216, Санкт-Петербург, Ленинский пр-кт, д. 140;4.0;+7 812 346-51-53;+7 812 346-51-53;
RestoClub Venezia;191186, Санкт-Петербург, Реки Мойки наб., д. 67, — вход в арку;0.0;+7 812 938-19-10;+7 812 448-47-86;
Est cafe;190068, Санкт-Петербург, Крюкова канала наб., д. 11;0.0;+7 495 150-09-72;+7 812 946-53-88;
Стандарт-общепит;196135, Санкт-Петербург, Гастелло ул., д. 19;0.0;;;
МЁД;187300, Ленинградская обл., Кировский район, массив. Келколово-3, снт. Василеостровец, Южная дорога ул., д. 6 к1;0.0;;;
Бахчай;Проспект Науки д.14 к.1 лит А;4.7;;;
IL Патио;191167, Санкт-Петербург, Невский пр-кт, д. 182;3.8;;;
ERISTOV ресторан Грузинской кухни;197022, Санкт-Петербург, Реки Карповки наб., д. 5;5.0;;;
Чито Гврито;196135, Санкт-Петербург, Типанова ул., д. 21;0.0;;;
ресторан |Не Грусти| бар;191002, Санкт-Петербург, Загородный пр-кт, д. 15;3.3;;;
Nebar;191014, Санкт-Петербург, Литейный пр-кт, д. 57;4.6;+7 812 644-40-00;+7 812 995-05-05;
Синопская Набережная;191124, Санкт-Петербург, Синопская наб., д. 60, — 62 лит1;0.0;+7 965 002-41-90;+7 921 650-35-60;
АлМар;Санкт-Петербург, Лиговский пр-кт, д. 10/118;0.0;;;
Ресторан.ру;190005, Санкт-Петербург, Обводного канала наб., д. 139;0.0;+7 812 954-29-29;+7 812 740-18-20;
Ресторан Sardina;191025, Санкт-Петербург, Рубинштейна ул., д. 6;5.0;;;
Дзен;197183, Санкт-Петербург, Приморский пр-кт, д. 72, — ТРЦ Питерлэнд;0.0;;;
Папа Пицциано;195112, Санкт-Петербург, Новочеркасский пр-кт, д. 41/14;4.7;;;
Павлин;190005, Санкт-Петербург, 5-я Красноармейская ул., д. 19;5.0;;;
Дом с Маврами;190000, Санкт-Петербург, Конногвардейский б-р, д. 7;0.0;+7 964 322-31-19;+7 812 312-89-34;
Блок;191123, Санкт-Петербург, Потемкинская ул., д. 4, — 4 этаж;0.0;;;
Зевс;194223, Санкт-Петербург, Светлановский пр-кт, д. 35, — 1 этаж;0.0;+7 812 552-82-67;+7 812 903-22-17;
Европа;196244, Санкт-Петербург, Витебский пр-кт, д. 41 к1, — 2 этаж;0.0;+7 911 777-27-25;+7 911 721-16-67;
AzianA;194214, Санкт-Петербург, Выборгское ш., д. 15 лит А, — ТЦ Авеню;0.0;;;
Васаби/Розарио;199178, Санкт-Петербург, 7-я В.О. линия, д. 76, — 1 этаж;5.0;;;
Tokyo-City;195269, Санкт-Петербург, Просвещения пр-кт, д. 72;4.5;;;
Гауранга;191014, Санкт-Петербург, Лиговский пр-кт, д. 17;5.0;;;
TELEPIZZA (ТЕЛЕПИЦЦА);196128, Санкт-Петербург, Варшавская ул., д. 23 к3, — вход с торца;0.0;;;
Town Pizza;198215, Санкт-Петербург, Ветеранов пр-кт, д. 16;0.0;;;
Арго;199397, Санкт-Петербург, Кораблестроителей ул., д. 32 к3;0.0;;;
Тянь Цзинь;197372, Санкт-Петербург, Ильюшина ул., д. 8;0.0;;;
Уником 94;197198, Санкт-Петербург, Добролюбова пр-кт, д. 18, — СК Юбилейный;0.0;;;
Патифон;193168, Санкт-Петербург, Большевиков пр-кт, д. 18;0.0;+7 812 333-16-96;+7 812 333-16-95;
Long Island diner & bar;191186, Санкт-Петербург, Канала Грибоедова наб., д. 8;4.3;;;
BullHouse;197022, Санкт-Петербург, Каменноостровский пр-кт, д. 62, — 1 этаж;0.0;+7 495 150-09-72;+7 812 497-33-83;
Магия Востока;197227, Санкт-Петербург, Испытателей пр-кт, д. 29 к1, — 2 этаж;0.0;;;
Ресторан Мари Vanna («МариВанна»);197136, Санкт-Петербург, Ленина ул., д. 18;0.0;+7 495 150-09-72;+7 812 640-16-16;
Ollis Pizza;194356, Санкт-Петербург, Луначарского пр-кт, д. 52к1;0.0;;;
Ресторан "Бельвью Брассери";191186, Санкт-Петербург, Реки Мойки наб., д. 22;0.0;+7 812 335-91-90;+7 812 335-91-11;
Лапша;191014, Санкт-Петербург, Белинского ул., д. 6;0.0;;;
Евразия-Экспресс;196158, Санкт-Петербург, Ленсовета ул., д. 86а;0.0;+7 812 334-14-55;+7 812 325-60-60;
Mr-997;192212, Санкт-Петербург, Белградская ул., д. 30, — вход со двора;0.0;+7 812 709-96-99;+7 981 709-96-70;
Евразия-Экспресс;195197, Санкт-Петербург, Кондратьевский пр-кт, д. 49;0.0;+7 812 334-14-55;+7 812 325-60-60;
Кафе-кондитерская-бар Счастье;191025, Санкт-Петербург, Невский пр-кт, д. 55, —;5.0;;;
Ф.М. Достоевский;191025, Санкт-Петербург, Владимирский пр-кт, д. 9, — 1 этаж;3.0;+7 495 150-09-72;+7 812 334-22-44, +7 812 334-22-33;
Караван;190068, Санкт-Петербург, Вознесенский пр-кт, д. 44-46;4.5;+7 495 150-09-72;+7 812 310-56-78, +7 812 571-28-00;
Группа Жизнь со вкусом;195279, Санкт-Петербург, Ударников пр-кт, д. 36, — 1 этаж;0.0;;;
Maximilian Mall;195256, Санкт-Петербург, Науки пр-кт, д. 25;0.0;;;
MiaSushi;191002, Санкт-Петербург, Владимирский пр-кт, д. 15;0.0;;;
Jet Set Sport;197110, Санкт-Петербург, Батарейная дор., д. 8;0.0;;;
Ресторан-бар Король Гамбринус;195257, Санкт-Петербург, Гражданский пр-кт, д. 66, — вход с ул. Науки проспект;4.0;+7 965 777-90-89;+7 812 933-32-79;
Евразия;191024, Санкт-Петербург, Невский пр-кт, д. 131;3.8;;;
Рис;191036, Санкт-Петербург, Восстания пл., д. 55;4.6;;;
Пицца-Суши;192029, Санкт-Петербург, Елизарова пр-кт, д. 19;0.0;;;
Дивный сад;199155, Санкт-Петербург, Капитанская ул., д. 4;0.0;;;
Суши Wok;191014, Санкт-Петербург, Литейный пр-кт, д. 43;3.2;;;
Евразия-Экспресс;197350, Санкт-Петербург, Комендантский пр-кт, д. 30 к1;0.0;+7 812 334-14-55;+7 812 325-60-60;
Пузата Хата;195298, Санкт-Петербург, Косыгина пр-кт, д. 27;0.0;;;
Токио city;198097, Санкт-Петербург, Стачек пр-кт, д. 46;0.0;;;
Михайловский;191186, Санкт-Петербург, Инженерная ул., д. 2-4, —  вход с ул. Набережная канала Грибоедова;0.0;;;
Солнечная долина /Купидон;192171, Санкт-Петербург, Фарфоровская ул., д. 8, — 1 этаж;0.0;+7 911 955-01-32;+7 911 243-61-47, +7 952 222-24-24;
PARADISE cafe&bar;191186, Санкт-Петербург, Конюшенная пл., д. 2, —  напротив Спаса-на Крови;0.0;;;
Чи-ти;190121, Санкт-Петербург, Декабристов ул., д. 62, — 64;0.0;;;
САХАРА;191014, Санкт-Петербург, Восстания ул., д. 13, — 1 этаж;4.2;;;
Укроп на 7-ой линии В.О., 30;Санкт-Петербург, 7-я В.О. линия, д. 30;4.3;;;
Кон-Коронель;198095, Санкт-Петербург, Шкапина ул., д. 10, — 1 этаж;0.0;+7 812 400-07-21;+7 812 941-35-42;
БАРСЛОНА;191186, Санкт-Петербург, Большая Конюшенная ул., д. 1, — 1 этаж;0.0;;;
MiX;190000, Санкт-Петербург, Вознесенский пр-кт, д. 6;0.0;+7 812 610-61-66;+7 812 610-61-61;
Евразия;190068, Санкт-Петербург, Лермонтовский пр-кт, д. 8, — 1 этаж;3.4;;;
Галерея;192007, Санкт-Петербург, Курская ул., д. 14, — 1 этаж;0.0;;;
Интернет-магазин Joy in Life;196105, Санкт-Петербург, Сызранская ул., д. 23корпусА;0.0;;;
Villa ZимаЛеtо;187300, Ленинградская обл., Кировский район, массив. Келколово-3, снт. Василеостровец, Южная дорога ул., д. 8;0.0;+7 812 703-41-30;+7 812 942-74-73;
ЛЕВЪ;199397, Санкт-Петербург, Морская наб., д. 21а;0.0;;;
Tapas Барслона;191186, Санкт-Петербург, Большая Конюшенная ул., д. 3;4.6;;;
Афиет;195427, Санкт-Петербург, Тихорецкий пр-кт, д. 39;0.0;+7 495 150-09-72;+7 812 331-43-43;
Московский Тракт;196084, Санкт-Петербург, Московский пр-кт, д. 125;5.0;;;
Delfim`s;191025, Санкт-Петербург, Рубинштейна ул., д. 5;0.0;+7 812 710-64-13;+7 812 310-15-74;
Street;197348, Санкт-Петербург, Коломяжский пр-кт, д. 15 к2, — 70Н;0.0;;;
Demetra Art Hotel;191014, Санкт-Петербург, Восстания ул., д. 44;0.0;;;
Евразия-Экспресс;192242, Санкт-Петербург, Белы Куна ул., д. 3;0.0;+7 812 334-14-55;+7 812 325-60-60;
Емеля;190005, Санкт-Петербург, 1-я Красноармейская ул., д. 2;0.0;;;
Ресторан Capuletti;199106, Санкт-Петербург, Большой В.О. пр-кт, д. 74;4.3;;;
KILLFISH;190000, Санкт-Петербург, Канала Грибоедова наб., д. 62, — 1 этаж;0.0;;;
Васаби;195269, Санкт-Петербург, Просвещения пр-кт, д. 76, — 2 этаж;0.0;+7 812 244-74-29;+7 812 244-73-29;
Any.pasta.pizza.bar;197101, Санкт-Петербург, Большая Пушкарская ул., д. 42;3.8;;;
Mama Roma;191002, Санкт-Петербург, Загородный пр-кт, д. 21-23;0.0;;;
Oldham Паб*СтейкХаус;191186, Санкт-Петербург, Реки Мойки наб., д. 56;5.0;;;
Япоша;197022, Санкт-Петербург, Каменноостровский пр-кт, д. 47;0.0;;;
САХАРА;192007, Санкт-Петербург, Прилукская ул., д. 15, — 1 этаж;4.0;;;
ZakaZaka (ООО "Сайт-агрегатор");197374, Санкт-Петербург, Торфяная дор., д. 7 лит Ф, — 1008 офис;4.9;;;
ПРЕКРАСНАЯ ЗЕЛЕНАЯ;191028, Санкт-Петербург, Моховая ул., д. 41, — цокольный этаж;4.6;+7 911 929-18-51;+7 812 273-51-18;
Судзуран;195269, Санкт-Петербург, Просвещения пр-кт, д. 74;0.0;;;
Садко;190000, Санкт-Петербург, Глинки ул., д. 2, — 1 этаж;4.8;+7 495 150-09-72;+7 812 903-23-73;
Император;199034, Санкт-Петербург, Менделеевская линия, д. 1;0.0;;;
I Love Piter;196084, Санкт-Петербург, Смоленская ул., д. 9, — 1 этаж;0.0;+7 812 493-35-88;+7 911 715-37-49;
Exomenu.ru;Санкт-Петербург, Энгельса пр-кт, д. 154;0.0;;;
Такао;191025, Санкт-Петербург, Невский пр-кт, д. 106;4.1;+7 812 273-29-66;+7 963 246-08-30, +7 812 273-29-66;
Сытинь;190005, Санкт-Петербург, Измайловский пр-кт, д. 2а;3.5;;;
La Restaurant;197198, Санкт-Петербург, Большой П.С. пр-кт, д. 37;0.0;;;
SПБ;193318, Санкт-Петербург, Клочков пер., д. 6 к1, — 1 этаж;4.0;;;
Евразия-Экспресс;198255, Санкт-Петербург, Ветеранов пр-кт, д. 75 к1;0.0;+7 812 334-14-55;+7 812 325-60-60;
География;191025, Санкт-Петербург, Рубинштейна ул., д. 5;4.8;;;
Ресторан-банкетный зал "Русское солнце";191036, Санкт-Петербург, 5-я Советская ул., д. 24;5.0;+7 911 786-19-22;+7 812 577-19-25, +7 921 343-03-17;
Штолле;191014, Санкт-Петербург, Восстания ул., д. 32, — 1 этаж;4.3;;;
Винный шкаф;191002, Санкт-Петербург, Рубинштейна ул., д. 9;4.7;;;
Пивной ресторан Crazy Hunter;192007, Санкт-Петербург, Расстанная ул., д. 1;0.0;;;
Golden Pepper;190013, Санкт-Петербург, Подольская ул., д. 23;0.0;;;
Ladymassage;Санкт-Петербург, Лермонтовский пр-кт, д. 53;0.0;;;
Mama Mafia;194355, Санкт-Петербург, Хошимина ул., д. 13а;0.0;;;
Bona Capona;198261, Санкт-Петербург, Ветеранов пр-кт, д. 105;0.0;;;
Евразия;192242, Санкт-Петербург, Белы Куна ул., д. 3, — 3 этаж;0.0;;;
Гастроном;191186, Санкт-Петербург, Реки Мойки наб., д. 1, — эт. цокольный;4.6;+7 495 150-09-72;+7 812 314-38-49;
Альбион;190013, Санкт-Петербург, Реки Фонтанки наб., д. 108, — 2 этаж;5.0;+7 812 380-79-98;+7 812 702-62-63;
Васаби/Розарио;195274, Санкт-Петербург, Культуры пр-кт, д. 1литерА;0.0;;;
Русский Китч;199034, Санкт - Петербург,  наб. Университетская, эт. 1;4.7;+7 495 150-09-72;+7 812 325-11-22, +7 812 323-85-25;
Индокитай;194223, Санкт-Петербург, Тореза пр-кт, д. 37;4.5;;;
Васаби;197022, Санкт-Петербург, Медиков пр-кт, д. 5;4.7;;;
the плов;Санкт-Петербург, Обуховской Обороны пр-кт, д. 70;0.0;;;
Tara Brooch;191024, Санкт-Петербург, 2-я Советская ул., д. 18, — 1 этаж;4.8;;;
Евразия;197046, Санкт-Петербург, Кронверкский пр-кт, д. 13, — 1 этаж;3.6;;;
Casa del Мясо;199034, Санкт-Петербург, Биржевой проезд, д. 6;4.7;;;
Ресторан "АНИ";192289, Санкт-Петербург, Софийская ул., д. 93;0.0;;;
Гетман;199004, Санкт-Петербург, 1-я В.О. линия, д. 20;0.0;;;
Penabar;191023, Санкт-Петербург, Садовая ул., д. 12;4.0;+7 812 600-24-96;+7 812 600-23-00;
Емеля;199004, Санкт-Петербург, Кадетская В.О. линия;0.0;;;
Восточная Аркадия;190000, Санкт-Петербург, Канала Грибоедова наб., д. 97, — 1 этаж;0.0;;;
KILLFISH;195298, Санкт-Петербург, Косыгина пр-кт, д. 28 к1, — цокольный этаж;0.0;+7 812 946-06-27;+7 812 448-08-00;
Папа Джонс;197350, Санкт-Петербург, Комендантский пр-кт, д. 51 к1;0.0;;;
Пиворама;193168, Санкт-Петербург, Большевиков пр-кт, д. 18 лит А, — 3 этаж;4.0;+7 812 907-61-91;+7 812 333-16-08;
Chili Pizza;195220, Санкт-Петербург, Гражданский пр-кт, д. 41 лит Б, — 2 этаж;5.0;;;
Пицца Пармезан;198261, Санкт-Петербург, Ветеранов пр-кт, д. 109к1;0.0;;;
Tokyo-City;198261, Санкт-Петербург, Ветеранов пр-кт, д. 114 к1, — 1 этаж;0.0;;;
Евразия;190013, Санкт-Петербург, Загородный пр-кт, д. 64;4.0;;;
La Кучина Итальяна;191317, Санкт-Петербург, Александра Невского пл., д. 2;0.0;;;
Зверь;197046, Санкт-Петербург, Александровский парк, д. 5Б;3.7;;;
Белуга;199004,набережная Макарова 16;4.5;;;
Васаби/Розарио;196066, Санкт-Петербург, Ленинский пр-кт, д. 160, — 1 этаж;0.0;;;
Камыши;194356, Санкт-Петербург, Никольская ул., д. 13 лит А;0.0;;;
Ресторан северной кухни OLENЬ;Санкт-Петербург, Пражская ул., д. 26 к1;0.0;+7 812 572-96-44;+7 921 943-38-44;
И.Самоваров;196070, Санкт-Петербург, Московский пр-кт, д. 175;5.0;;;
Такками;194064, Санкт-Петербург, Светлановский пр-кт, д. 54;0.0;;;
Манеж Первого Кадетского Корпуса;199034, Санкт-Петербург, Университетская наб., д. 13, — 1 этаж;0.0;+7 812 327-89-47;+7 812 327-89-42;
Чаплин-Клуб;191123, Санкт-Петербург, Чайковского ул., д. 59;4.6;+7 495 150-09-72;+7 812 272-66-49;
Red Cat;190005, Санкт-Петербург, Московский пр-кт, д. 51литерА;4.0;;;
MAGIK;194355, Санкт-Петербург, Композиторов ул., д. 12а;0.0;;;
Щи Борщи;193318, Санкт-Петербург, Пятилеток пр-кт, д. 14;0.0;;;
Камелот;195030, Санкт-Петербург, Революции ш., д. 84;0.0;+7 909 590-08-23;+7 812 324-33-37;
Сад Камней;191186, Санкт-Петербург, Невский пр-кт, д. 22;4.0;+7 812 571-00-24;+7 812 315-37-54;
Летучий Голландец;197198, Санкт-Петербург, Мытнинская наб., д. 6;5.0;+7 812 313-88-77;+7 812 313-88-66;
Сатори;198303, Санкт-Петербург, Маршала Жукова пр-кт, д. 36к1;3.0;;;
Кафе POMEGRANATE;Россия, г Санкт-Петербург, пр-кт Невский, д 102;5.0;;;
Чито-гврито;196070, Санкт-Петербург, Чернышевского пл., д. 10;4.3;;;
Дольче Вита;195112, Санкт-Петербург, Шаумяна пр-кт, д. 1;0.0;;;
Express Суши;193232, Санкт-Петербург, Большевиков пр-кт, д. 25;0.0;;;
Вагаси (доставка Суши на Дом);194100, Санкт-Петербург, Большой Сампсониевский пр-кт, д. 77/7;5.0;;;
ИПМ;192007, Санкт-Петербург, Курская ул., д. 28;0.0;+7 812 941-38-65;+7 812 400-08-30;
Натюрлих;198207, Санкт-Петербург, Ленинский пр-кт, д. 109;0.0;+7 952 388-38-84;+7 812 364-65-75;
Little Italy;191186, Санкт-Петербург, Итальянская ул., д. 10, — 1 этаж;3.8;+7 495 150-09-72;+7 812 571-23-50;
Вит;191119, Санкт-Петербург, Черняховского ул., д. 10;0.0;;;
Евразия;196626, Санкт-Петербург, п. Шушары, Окуловская ул., д. 8;0.0;;;
Twiggy;194214, Санкт-Петербург, Выборгское ш., д. 13, — 1 этаж;0.0;;;
Ресторан & lounge resort;197110, Санкт-Петербург, Мартынова наб., д. 92;3.0;;;
Евразия;192281, Санкт-Петербург, Дунайский пр-кт, д. 34, — 1 этаж;3.5;;;
Три Доски;191119, Санкт-Петербург, Звенигородская ул., д. 1;2.5;;;
Евразия-Экспресс;195112, Санкт-Петербург, Заневский пр-кт, д. 67 к2;0.0;+7 812 334-14-55;+7 812 325-60-60;
Sushi-City;198097, Санкт-Петербург, Стачек пр-кт, д. 27;0.0;;;
Вацлав Замок;194017, Санкт-Петербург, Рашетова ул., д. 3, — 1 этаж;0.0;;;
Ладога;195112, Санкт-Петербург, Шаумяна пр-кт, д. 26, — 1 этаж;0.0;;;
Ресторан Чабрец;196070, Санкт-Петербург, Московский пр-кт, д. 161;4.3;;;
Домо Аригато;192241, Санкт-Петербург, Пражская ул., д. 48/50;0.0;;;
Волна;194354, Санкт-Петербург, Северный пр-кт, д. 12;0.0;+7 964 376-45-24;+7 950 026-94-25;
Tandoori Nights;190000, Санкт-Петербург, Вознесенский пр-кт, д. 4, — 1 этаж;3.5;+7 911 225-79-73;+7 812 312-87-72;
PIZZARONI;193232, Санкт-Петербург, Крыленко ул., д. 39, — 1 этаж;0.0;;;
